Product code,Description,Unit of Issue, Price 
A-4951.01,"3.5 TriLock Prox. Humeral Plate, 3H, L",1, £503.50 
A-4951.01S,"3.5 TriLock Prox. Humeral Plate, 3H, L",1, £579.02 
A-4951.02,"3.5 TriLock Prox. Humeral Plate, 3H, R",1, £503.50 
A-4951.02S,"3.5 TriLock Prox. Humeral Plate, 3H, R",1, £579.02 
A-4951.03,"3.5 TriLock Prox. Humeral Plate, 5H, L",1, £560.50 
A-4951.03S,"3.5 TriLock Prox. Humeral Plate, 5H, L",1, £644.57 
A-4951.04,"3.5 TriLock Prox. Humeral Plate, 5H, R",1, £560.50 
A-4951.04S,"3.5 TriLock Prox. Humeral Plate, 5H, R",1, £644.57 
A-4951.05,"3.5 TriLock Prox. Humeral Plate, 7H, L",1, £646.00 
A-4951.05S,"3.5 TriLock Prox. Humeral Plate, 7H, L",1, £742.90 
A-4951.06,"3.5 TriLock Prox. Humeral Plate, 7H, R",1, £646.00 
A-4951.06S,"3.5 TriLock Prox. Humeral Plate, 7H, R",1, £742.90 
A-4951.07,"3.5 TriLock Prox. Hum. Plate XL, 10H, L",1, £674.50 
A-4951.08,"3.5 TriLock Prox. Hum. Plate XL, 10H, R",1, £674.50 
A-4951.09,"3.5 TriLock Prox. Hum. Plate XL, 14H, L",1, £703.00 
A-4951.10,"3.5 TriLock Prox. Hum. Plate XL, 14H, R",1, £703.00 
A-4951.21,"Spiral Blade Proximal Humerus, 50° Left",1, £213.75 
A-4951.21S,"Spiral Blade Proximal Humerus, 50° Left",1, £245.86 
A-4951.22,"Spiral Blade Proximal Humerus, 50° Right",1, £213.75 
A-4951.22S,"Spiral Blade Proximal Humerus, 50° Right",1, £245.86 
A-4951.23,"Spiral Blade Proximal Humerus, 40° Left",1, £213.75 
A-4951.23S,"Spiral Blade Proximal Humerus, 40° Left",1, £245.86 
A-4951.24,"Spiral Blade Proximal Humerus, 40° Right",1, £213.75 
A-4951.24S,"Spiral Blade Proximal Humerus, 40° Right",1, £245.86 
A-4851.01,"2.8 TriLock Clav. Pl. Sup. Lateral,12H,L",1, £498.75 
A-4851.02,"2.8 TriLock Clav. Pl. Sup. Lateral,12H,R",1, £498.75 
A-4851.03,"2.8 TriLock Clav. Pl. Sup. Lateral,14H,L",1, £498.75 
A-4851.04,"2.8 TriLock Clav. Pl. Sup. Lateral,14H,R",1, £498.75 
A-4851.11,"2.8 TriLock Clav.Pl. Sup.Lat.Shaft,11H,L",1, £498.75 
A-4851.12,"2.8 TriLock Clav.Pl. Sup.Lat.Shaft,11H,R",1, £498.75 
A-4851.21,"2.8 TriLock Clav. Pl. Sup. Midshaft,6H,L",1, £498.75 
A-4851.22,"2.8 TriLock Clav. Pl. Sup. Midshaft,6H,R",1, £498.75 
A-4851.23,"2.8 TriLock Clav. Pl. Sup. Midshaft,8H,L",1, £498.75 
A-4851.24,"2.8 TriLock Clav. Pl. Sup. Midshaft,8H,R",1, £498.75 
A-4851.25,"2.8 TriLock Clav. Pl. Sup. Midshaft,8H,L",1, £498.75 
A-4851.26,"2.8 TriLock Clav. Pl. Sup. Midshaft,8H,R",1, £498.75 
A-4851.27,"2.8 TriLock Clav. Pl. Sup. Midshaft,8H,L",1, £498.75 
A-4851.28,"2.8 TriLock Clav. Pl. Sup. Midshaft,8H,R",1, £498.75 
A-4851.29,"2.8 TriLock Clav. Pl. Sup.Midshaft,10H,L",1, £498.75 
A-4851.30,"2.8 TriLock Clav. Pl. Sup.Midshaft,10H,R",1, £498.75 
